ins_name,Phirea_time
data/TSP/RUE/1.tsp,0.076
data/TSP/RUE/10.tsp,0.093
data/TSP/RUE/100.tsp,0.112
data/TSP/RUE/1000.tsp,0.044
data/TSP/RUE/101.tsp,0.108
data/TSP/RUE/102.tsp,0.107
data/TSP/RUE/103.tsp,0.066
data/TSP/RUE/104.tsp,0.059
data/TSP/RUE/105.tsp,0.055
data/TSP/RUE/106.tsp,0.038
data/TSP/RUE/107.tsp,0.054
data/TSP/RUE/108.tsp,0.116
data/TSP/RUE/109.tsp,0.064
data/TSP/RUE/11.tsp,0.088
data/TSP/RUE/110.tsp,0.029
data/TSP/RUE/111.tsp,0.109
data/TSP/RUE/112.tsp,0.068
data/TSP/RUE/113.tsp,0.021
data/TSP/RUE/114.tsp,0.057
data/TSP/RUE/115.tsp,0.03
data/TSP/RUE/116.tsp,0.024
data/TSP/RUE/117.tsp,0.067
data/TSP/RUE/118.tsp,0.036
data/TSP/RUE/119.tsp,0.1
data/TSP/RUE/12.tsp,0.047
data/TSP/RUE/120.tsp,0.07
data/TSP/RUE/121.tsp,0.054
data/TSP/RUE/122.tsp,0.061
data/TSP/RUE/123.tsp,0.035
data/TSP/RUE/124.tsp,0.036
data/TSP/RUE/125.tsp,0.083
data/TSP/RUE/126.tsp,0.041
data/TSP/RUE/127.tsp,0.024
data/TSP/RUE/128.tsp,0.111
data/TSP/RUE/129.tsp,0.023
data/TSP/RUE/13.tsp,0.11
data/TSP/RUE/130.tsp,0.042
data/TSP/RUE/131.tsp,0.101
data/TSP/RUE/132.tsp,0.048
data/TSP/RUE/133.tsp,0.092
data/TSP/RUE/134.tsp,0.071
data/TSP/RUE/135.tsp,0.079
data/TSP/RUE/136.tsp,0.09
data/TSP/RUE/137.tsp,0.078
data/TSP/RUE/138.tsp,0.027
data/TSP/RUE/139.tsp,0.029
data/TSP/RUE/14.tsp,0.027
data/TSP/RUE/140.tsp,0.041
data/TSP/RUE/141.tsp,0.082
data/TSP/RUE/142.tsp,0.077
data/TSP/RUE/143.tsp,0.066
data/TSP/RUE/144.tsp,0.097
data/TSP/RUE/145.tsp,0.057
data/TSP/RUE/146.tsp,0.021
data/TSP/RUE/147.tsp,0.093
data/TSP/RUE/148.tsp,0.085
data/TSP/RUE/149.tsp,0.068
data/TSP/RUE/15.tsp,0.104
data/TSP/RUE/150.tsp,0.023
data/TSP/RUE/151.tsp,0.102
data/TSP/RUE/152.tsp,0.092
data/TSP/RUE/153.tsp,0.034
data/TSP/RUE/154.tsp,0.05
data/TSP/RUE/155.tsp,0.101
data/TSP/RUE/156.tsp,0.102
data/TSP/RUE/157.tsp,0.04
data/TSP/RUE/158.tsp,0.091
data/TSP/RUE/159.tsp,0.054
data/TSP/RUE/16.tsp,0.12
data/TSP/RUE/160.tsp,0.03
data/TSP/RUE/161.tsp,0.157
data/TSP/RUE/162.tsp,0.135
data/TSP/RUE/163.tsp,0.021
data/TSP/RUE/164.tsp,0.048
data/TSP/RUE/165.tsp,0.098
data/TSP/RUE/166.tsp,0.104
data/TSP/RUE/167.tsp,0.088
data/TSP/RUE/168.tsp,0.1
data/TSP/RUE/169.tsp,0.038
data/TSP/RUE/17.tsp,0.065
data/TSP/RUE/170.tsp,0.061
data/TSP/RUE/171.tsp,0.09
data/TSP/RUE/172.tsp,0.023
data/TSP/RUE/173.tsp,0.043
data/TSP/RUE/174.tsp,0.119
data/TSP/RUE/175.tsp,0.08
