ins_name,alg_name,repeat,status,runtime
data/TSP/cl/1.tsp,LKH,0,SUCCESS,77.60
data/TSP/cl/1.tsp,LKH,1,SUCCESS,17.51
data/TSP/cl/1.tsp,LKH,2,SUCCESS,16.94
data/TSP/cl/1.tsp,LKH,3,SUCCESS,5.82
data/TSP/cl/1.tsp,LKH,4,SUCCESS,22.00
data/TSP/cl/1.tsp,LKH-restart,0,SUCCESS,128.57
data/TSP/cl/1.tsp,LKH-restart,1,SUCCESS,28.31
data/TSP/cl/1.tsp,LKH-restart,2,SUCCESS,24.94
data/TSP/cl/1.tsp,LKH-restart,3,SUCCESS,4.74
data/TSP/cl/1.tsp,LKH-restart,4,SUCCESS,14.95
data/TSP/cl/1.tsp,LKH-crossover,0,SUCCESS,129.65
data/TSP/cl/1.tsp,LKH-crossover,1,SUCCESS,27.79
data/TSP/cl/1.tsp,LKH-crossover,2,SUCCESS,16.55
data/TSP/cl/1.tsp,LKH-crossover,3,SUCCESS,5.82
data/TSP/cl/1.tsp,LKH-crossover,4,SUCCESS,22.16
data/TSP/cl/1.tsp,GA-EAX,0,SUCCESS,4.93
data/TSP/cl/1.tsp,GA-EAX,1,SUCCESS,4.60
data/TSP/cl/1.tsp,GA-EAX,2,SUCCESS,5.57
data/TSP/cl/1.tsp,GA-EAX,3,SUCCESS,5.00
data/TSP/cl/1.tsp,GA-EAX,4,SUCCESS,5.58
data/TSP/cl/1.tsp,GA-EAX-restart,0,SUCCESS,5.94
data/TSP/cl/1.tsp,GA-EAX-restart,1,SUCCESS,5.58
data/TSP/cl/1.tsp,GA-EAX-restart,2,SUCCESS,4.77
data/TSP/cl/1.tsp,GA-EAX-restart,3,SUCCESS,4.71
data/TSP/cl/1.tsp,GA-EAX-restart,4,SUCCESS,4.19
data/TSP/cl/1.tsp,MAOS,0,SUCCESS,7.98
data/TSP/cl/1.tsp,MAOS,1,SUCCESS,7.44
data/TSP/cl/1.tsp,MAOS,2,SUCCESS,8.06
data/TSP/cl/1.tsp,MAOS,3,SUCCESS,7.87
data/TSP/cl/1.tsp,MAOS,4,SUCCESS,7.35
data/TSP/cl/2.tsp,LKH,0,SUCCESS,23.69
data/TSP/cl/2.tsp,LKH,1,SUCCESS,162.13
data/TSP/cl/2.tsp,LKH,2,SUCCESS,336.55
data/TSP/cl/2.tsp,LKH,3,SUCCESS,419.31
data/TSP/cl/2.tsp,LKH,4,SUCCESS,564.54
data/TSP/cl/2.tsp,LKH-restart,0,SUCCESS,24.03
data/TSP/cl/2.tsp,LKH-restart,1,SUCCESS,154.85
data/TSP/cl/2.tsp,LKH-restart,2,SUCCESS,287.80
